Round,Date,Home Team,Score,Away Team,Home Score,Away Score,Score Disparity,Home Game Points,Away Game Points,Venue,Bye
1,Saturday 4 April,Southern Steel,55-46,Central Pulse,55,46,9,2,0,"Stadium Southland, Invercargill",
1,Saturday 4 April,Melbourne Vixens,57-44,West Coast Fever,57,44,13,2,0,"State Netball and Hockey Centre, Melbourne",
1,Sunday 5 April,Queensland Firebirds,48-60,Adelaide Thunderbirds,48,60,12,0,2,Brisbane Convention and Exhibition Centre,
1,Monday 6 April,Northern Mystics,38-51,Waikato Bay of Plenty Magic,38,51,13,0,2,"Trusts Stadium, Auckland",
1,Monday 6 April,New South Wales Swifts,62-45,Canterbury Tactix,62,45,17,2,0,Sydney Olympic Park Sports Centre,
2,Saturday 11 April,Waikato Bay of Plenty Magic,54-47,Southern Steel,54,47,7,2,0,"Queen Elizabeth Youth Centre, Tauranga",
2,Sunday 12 April,Adelaide Thunderbirds,48-47,New South Wales Swifts,48,47,1,2,0,"ETSA Park, Adelaide",
2,Sunday 12 April,Northern Mystics,54-50,Central Pulse,54,50,4,2,0,"North Shore Events Centre, Auckland",
2,Monday 13 April,Canterbury Tactix,52-44,West Coast Fever,52,44,8,2,0,"Westpac Arena, Christchurch",
2,Monday 13 April,Queensland Firebirds,51-54,Melbourne Vixens,51,54,3,0,2,Brisbane Convention and Exhibition Centre,
3,Saturday 18 April,Central Pulse,46-58,Queensland Firebirds,46,58,12,0,2,"TSB Bank Arena, Wellington",
3,Sunday 19 April,Adelaide Thunderbirds,43-49,Melbourne Vixens,43,49,6,0,2,"ETSA Park, Adelaide",
3,Sunday 19 April,Southern Steel,52-48,Canterbury Tactix,52,48,4,2,0,"The Edgar Centre, Dunedin",
3,Monday 20 April,Waikato Bay of Plenty Magic,63-45,New South Wales Swifts,63,45,18,2,0,"Mystery Creek Events Centre, Hamilton",
3,Monday 20 April,West Coast Fever,57-46,Northern Mystics,57,46,11,2,0,"Challenge Stadium, Perth",
4,Saturday 25 April,Central Pulse,54-60,West Coast Fever,54,60,6,0,2,"Arena Manawatu, Palmerston North",
4,Saturday 25 April,Melbourne Vixens,48-31,Southern Steel,48,31,17,2,0,"State Netball and Hockey Centre, Melbourne",
4,Sunday 26 April,Queensland Firebirds,53-42,Waikato Bay of Plenty Magic,53,42,11,2,0,Brisbane Convention and Exhibition Centre,
4,Monday 27 April,Canterbury Tactix,48-53,Adelaide Thunderbirds,48,53,5,0,2,"Westpac Arena, Christchurch",
4,Monday 27 April,New South Wales Swifts,59-55,Northern Mystics,59,55,4,2,0,Sydney Olympic Park Sports Centre,
5,Saturday 2 May,Canterbury Tactix,48-50,Waikato Bay of Plenty Magic,48,50,2,0,2,"Westpac Arena, Christchurch",
5,Sunday 3 May,Melbourne Vixens,50-42,Adelaide Thunderbirds,50,42,8,2,0,"Hisense Arena, Melbourne",
5,Monday 4 May,Central Pulse,60-61,Northern Mystics,60,61,1,0,2,"TSB Bank Arena, Wellington",
5,Monday 4 May,West Coast Fever,67-66,New South Wales Swifts,67,66,1,2,0,"Challenge Stadium, Perth",
5,,,,,,,,,,,Queensland Firebirds
5,,,,,,,,,,,Southern Steel
6,Saturday 9 May,Waikato Bay of Plenty Magic,59-36,Central Pulse,59,36,23,2,0,"Mystery Creek Events Centre, Hamilton",
6,Sunday 10 May,New South Wales Swifts,40-51,Adelaide Thunderbirds,40,51,11,0,2,Sydney Olympic Park Sports Centre,
6,Monday 11 May,Northern Mystics,52-61,Southern Steel,52,61,9,0,2,"Trusts Stadium, Auckland",
6,Monday 11 May,Queensland Firebirds,56-53,West Coast Fever,56,53,3,2,0,Brisbane Convention and Exhibition Centre,
6,,,,,,,,,,,Canterbury Tactix
6,,,,,,,,,,,Melbourne Vixens
7,Saturday 16 May,Canterbury Tactix,47-48,Southern Steel,47,48,1,0,2,"Westpac Arena, Christchurch",
7,Sunday 17 May,West Coast Fever,49-74,Melbourne Vixens,49,74,25,0,2,"Challenge Stadium, Perth",
7,Monday 18 May,Waikato Bay of Plenty Magic,50-35,Northern Mystics,50,35,15,2,0,"Energy Events Centre, Rotorua",
7,Monday 18 May,New South Wales Swifts,54-58,Queensland Firebirds,54,58,4,0,2,Sydney Olympic Park Sports Centre,
7,,,,,,,,,,,Adelaide Thunderbirds
7,,,,,,,,,,,Central Pulse
8,Saturday 23 May,Canterbury Tactix,49-46,Central Pulse,49,46,3,2,0,"Westpac Arena, Christchurch",
8,Sunday 24 May,Adelaide Thunderbirds,51-50,Queensland Firebirds,51,50,1,2,0,"ETSA Park, Adelaide",
8,Monday 25 May,Southern Steel,39-48,Waikato Bay of Plenty Magic,39,48,9,0,2,"Stadium Southland, Invercargill",
8,Monday 25 May,Melbourne Vixens,65-63,New South Wales Swifts,65,63,2,2,0,"Hisense Arena, Melbourne",
8,,,,,,,,,,,Northern Mystics
8,,,,,,,,,,,West Coast Fever
9,Saturday 30 May,Central Pulse,44-66,Southern Steel,44,66,22,0,2,"TSB Bank Arena, Wellington",
9,Sunday 31 May,Melbourne Vixens,57-53,Queensland Firebirds,57,53,4,2,0,"Hisense Arena, Melbourne",
9,Monday 1 June,Northern Mystics,47-46,Canterbury Tactix,47,46,1,2,0,"Trusts Stadium, Auckland",
9,Monday 1 June,West Coast Fever,41-61,Adelaide Thunderbirds,41,61,20,0,2,"Challenge Stadium, Perth",
9,,,,,,,,,,,New South Wales Swifts
9,,,,,,,,,,,Waikato Bay of Plenty Magic
10,Saturday 6 June,Central Pulse,45-59,Canterbury Tactix,45,59,14,0,2,"Te Rauparaha Arena, Porirua",
10,Saturday 6 June,Adelaide Thunderbirds,58-34,Northern Mystics,58,34,24,2,0,"Adelaide Arena, Adelaide",
10,Sunday 7 June,Queensland Firebirds,62-61,New South Wales Swifts,62,61,1,2,0,Brisbane Convention and Exhibition Centre,
10,Monday 8 June,Waikato Bay of Plenty Magic,55-48,Melbourne Vixens,55,48,7,2,0,"Queen Elizabeth Youth Centre, Tauranga",
10,Monday 8 June,West Coast Fever,59-48,Southern Steel,59,48,11,2,0,"Challenge Stadium, Perth",
11,Saturday 13 June,Canterbury Tactix,53-46,Queensland Firebirds,53,46,7,2,0,"Westpac Arena, Christchurch",
11,Sunday 14 June,Adelaide Thunderbirds,58-39,West Coast Fever,58,39,19,2,0,"ETSA Park, Adelaide",
11,Sunday 14 June,Central Pulse,35-67,Waikato Bay of Plenty Magic,35,67,32,0,2,"TSB Bank Arena, Wellington",
11,Monday 15 June,Southern Steel,52-50,Northern Mystics,52,50,2,2,0,"Stadium Southland, Invercargill",
11,Monday 15 June,New South Wales Swifts,52-63,Melbourne Vixens,52,63,11,0,2,Sydney Olympic Park Sports Centre,
12,Saturday 20 June,Northern Mystics,57-61,Melbourne Vixens,57,61,4,0,2,"Trusts Stadium, Auckland",
12,Saturday 20 June,Adelaide Thunderbirds,70-40,Central Pulse,70,40,30,2,0,"ETSA Park, Adelaide",
12,Sunday 21 June,New South Wales Swifts,60-63,West Coast Fever,60,63,3,0,2,Sydney Olympic Park Sports Centre,
12,Monday 22 June,Waikato Bay of Plenty Magic,50-46,Canterbury Tactix,50,46,4,2,0,"Energy Events Centre, Rotorua",
12,Monday 22 June,Queensland Firebirds,52-50,Southern Steel,52,50,2,2,0,Brisbane Convention and Exhibition Centre,
13,Saturday 27 June,Northern Mystics,57-59,Queensland Firebirds,57,59,2,0,2,"Trusts Stadium, Auckland",
13,Sunday 28 June,West Coast Fever,38-49,Waikato Bay of Plenty Magic,38,49,11,0,2,"Challenge Stadium, Perth",
13,Sunday 28 June,Central Pulse,53-52,New South Wales Swifts,53,52,1,2,0,"Te Rauparaha Arena, Porirua",
13,Monday 29 June,Southern Steel,58-49,Adelaide Thunderbirds,58,49,9,2,0,"The Edgar Centre, Dunedin",
13,Monday 29 June,Melbourne Vixens,63-35,Canterbury Tactix,63,35,28,2,0,"Hisense Arena, Melbourne",
14,Saturday 4 July,Southern Steel,55-48,New South Wales Swifts,55,48,7,2,0,"Stadium Southland, Invercargill",
14,Saturday 4 July,Melbourne Vixens,80-39,Central Pulse,80,39,41,2,0,"Hisense Arena, Melbourne",
14,Sunday 5 July,Adelaide Thunderbirds,54-35,Waikato Bay of Plenty Magic,54,35,19,2,0,"Adelaide Arena, Adelaide",
14,Monday 6 July,Canterbury Tactix,63-56,Northern Mystics,63,56,7,2,0,"Westpac Arena, Christchurch",
14,Monday 6 July,West Coast Fever,52-54,Queensland Firebirds,52,54,2,0,2,"Challenge Stadium, Perth",
15,Sunday 12 July,Melbourne Vixens,58-43,Waikato Bay of Plenty Magic,58,43,15,2,0,"Hisense Arena, Melbourne",
15,Monday 13 July,Adelaide Thunderbirds,51-45,Southern Steel,51,45,6,2,0,"ETSA Park, Adelaide",
16,Sunday 19 July,Waikato Bay of Plenty Magic,37-51,Adelaide Thunderbirds,37,51,14,0,2,"Mystery Creek Events Centre, Hamilton",
17,Sunday 26 July,Melbourne Vixens,54-46,Adelaide Thunderbirds,54,46,8,2,0,"Hisense Arena, Melbourne",
